id,object_id,qualification,roles,productionPlaces,maker_name
56,009094daa102920f2aa2,,painter,,Jan van Gool
57,009194c7c406e70fcc73,mentioned on object,print maker,Amsterdam,Roelant Roghman
58,009266040ee611f12928,,print maker,,Jan van de Velde (II)
59,00927517ef1135edc450,,,The Hague,anonymous
60,0093e69b0a557146a325,,,,James Higson
62,0095f89d802f41684eeb,possibly,,,A.J.M. Mulder
61,0095f89d802f41684eeb,attributed to,,,anoniem (Monumentenzorg)
63,00984d4b6ed3a13f93c7,,,Suriname,Théodore van Lelyveld
64,009c74da95bb44918462,,,,Ilse Frech
65,009cc381a550603d4042,,print maker,Northern Netherlands,anonymous
66,009d44bd779a8722b00c,mentioned on object,print maker,Antwerp,Gaspar Bouttats
67,00a87da84ac1e0cdf3ed,mentioned on object,print maker,Amsterdam,Jacob Taanman
68,00aec7ea1ddcdbd7128a,mentioned on object,,Amsterdam,Cor Jaring
69,00af690c350de8730119,mentioned on object,print maker,Paris,Gerard Edelinck
70,00b029290ec0125656a0,,painter,,Jacob van Nieulandt
71,00b9ec9c9828d10a05b9,,,,Rooswinkel & Co
72,00ba3fc884482f926862,attributed to,print maker,Rome,Johann Wilhelm Baur
73,00bae35332e069253ac5,,,Suriname,Théodore van Lelyveld
74,00bd4a71d6052f9d34e2,attributed to,,Arnhem,Johanna Margaretha Piek
75,00be0b201fcd88cda22f,,print maker,,Caspar Luyken
76,00c1cdbf0a76c047557d,after,painter,Antwerp,Anthony van Dyck
77,00c230a1e75235605081,mentioned on object,,,A. Cucumus & Cie.
78,00c5fa5d0ca2b9ac16f9,mentioned on object,,Cologne,Johann Heinrich Schönscheidt
79,00c662ae2f935e296061,mentioned on object,print maker,Japan,Tsukioka Kôgyo
80,00cd348d09e7d5bed69e,,painter,,Nicolaes Maes
81,00cd543929cbd97be573,mentioned on object,,France,frères Moreau
82,00cdcebad9cf8f08dfe8,,painter,,Bartholomeus Spranger
83,00cf45a1f5848cf2d958,,,,Philip Henry Delamotte
84,00d0e653494d5ae79349,,painter,,Michiel van Musscher
85,00d454ff424b1bf8c766,mentioned on object,print maker,,Raphaël Sadeler (I)
86,00d47d7a594eac994942,,print maker,France,anonymous
87,00d601332278b5dad17e,possibly,,,O. Hisgen & Co.
88,00d6125e9fc28ade559c,mentioned on object,,,G. Lekegian & Co.
89,00d6ff8253126e4570f0,,,France,anonymous
90,00d921237c39704f586c,,print maker,Northern Netherlands,anonymous
91,00da76cc59e1f7fd574f,mentioned on object,print maker,Netherlands,Theodor de Bry
92,00dd421d97eca3a000df,attributed to,,,Heinrich Ernst & Co
93,00ddae27ad7125e35626,,print maker,France,anonymous
94,00df0ebaa9f41ac80d1b,mentioned on object,print maker,Amsterdam,Geertruydt Roghman
95,00e1d6567d54bc6c9598,mentioned on object,,Amsterdam,Atelier Prinses
96,00e22e3143f028d816be,,,Netherlands,Jacob Olie jr.
97,00e2e2af2714aa26c058,,print maker,,Pieter Feddes van Harlingen
98,00e337899746e5de5831,,,,Robert Jefferson Bingham
99,00e6282125470eeb2c8f,mentioned on object,,,Celestino Degoix
100,00e7ad0e29f4a41e63b8,,painter,,Cornelis Bol
101,00e9aeb24986c901d162,,print maker,Antwerp,Paulus Pontius
102,00ec7f094af992f62fb6,attributed to,painter,,Jan van Scorel
103,00f12e153484ac5fadfa,,print maker,Amsterdam,Jan Luyken
104,00fb7aa9ce2136fb4606,,,France,Marcel Gustave Laverdet
105,00fbbe631b69b6e7ead7,mentioned on object,painter,,Melchior d'Hondecoeter
106,00fcdc45edc980fde941,mentioned on object,print maker,Germany,Franz Sigrist
107,00fddc2d19ca36014fed,possibly,print maker,Amsterdam,Hermanus Petrus Schouten
108,00fe6fe2e57cf241cee0,,,Netherlands,Albert Kapteyn
109,00fe780f0b88065a8154,mentioned on object,painter,,Pieter Gerardus van Os
110,0101617c79bc2b9b5d15,mentioned on object,,Haarlem,Jacques Chits
111,010670ab58ff586e595d,mentioned on object,,,Jan Breebaard
112,010698c1fbc7fcff11a8,,print maker,,Theodor de Bry
113,0106d9de2f9dbaa6c380,,,,anonymous
114,0107e3146682777881a6,,,,Adolphe Braun et Cie.
115,0108d1513c51faa1e46c,attributed to,,Netherlands,Richard Tepe
116,0109ea95b45d61c86a95,attributed to,,Norway,Paul Güssfeldt
117,010db4a37e38f02d49ef,,painter,Venice,anonymous
118,010f0bc8a66f233dd843,mentioned on object,print maker,Germany,Heinrich Aldegrever
119,01116013590a66210985,mentioned on object,,,Giacomo Brogi
120,011596145672eab69f14,,print maker,Netherlands,anonymous
121,0118c2b2870a660409f0,,print maker,Amsterdam,Jacobus Buys
122,011b2cb1cdbc506b14f6,,print maker,Northern Netherlands,Jan Stolker
123,011b2f60d6e8d90f3da4,,,France,anonymous
124,011cddc266c0beda7e76,,print maker,Germany,Karl Friedrich Schinkel
125,011f9f90b10c00780805,,painter,,Gerrit van Blaaderen
126,01237239861552ce96b9,mentioned on object,print maker,Netherlands,jonkheer Barthold Willem Floris van Riemsdijk
127,01246f15d0833def5518,,,,Lodewijk Hendrikus Serré
128,0124a857715d7527f92a,,print maker,,Jan van de Velde (II)
129,0125a971c83d2b13d0c0,,,,Georg Koppmann
130,0128e8dd0bb176e72e7b,attributed to,print maker,Haarlem,Hendrick Goltzius
131,012e4960cf03cc12fd79,,painter,,Emanuel de Witte
132,012f11dd648c1d522ae3,,print maker,Northern Netherlands,anonymous
133,012f85a6ce6d94c98209,mentioned on object,,,Kornelis Willem Schorteldoek
134,0133a7166542e02c1564,,,,anonymous
135,01349c1bf6e3c4ff3b36,mentioned on object,print maker,,Daniël Veelwaard (I)
136,01377a5d7623c7703917,,painter,,Arnoud van Halen
138,013c6642fdfcc829737f,possibly,,,A.J.M. Mulder
137,013c6642fdfcc829737f,attributed to,,,anoniem (Monumentenzorg)
139,013ce5f3e29c6de7f86d,,painter,,Jan Claesz. Rietschoof
140,01429677d183726f36fb,,print maker,Antwerp,Philips Galle
141,0142e9fe6b370acf3087,,painter,,Allaert van Everdingen
142,0143224ed3bcbeda6ec1,,print maker,Northern Netherlands,Theodoor Koning
143,0143a03f4f13d1650bd8,,,Amsterdam,anonymous
144,014869c9bcc8b0a5aa03,,print maker,Amsterdam,Daniël Veelwaard (I)
145,01493ec0124e65d71ed2,mentioned on object,,Northern Netherlands,Reinier Vinkeles (I)
146,014fa635e8796ff2fbc8,mentioned on object,print maker,Paris,Gerard Edelinck
147,01502ae363a165ae098c,,painter,,Bartholomeus van der Helst
148,0155c509542843ca9b3a,mentioned on object,,,Eugen Klein
149,0156480e5701513b2e4a,,,Indonesia,Jan Banning
150,01569965fe1c8496c577,,,,anonymous
151,0156e3dbc4857ee39c0c,,print maker,Amsterdam,Jan Luyken
152,0157bc9e4d606014735c,,painter,,Nicolaas Bastert
153,01580dea3c21c520b6da,after,painter,Low Countries,Anthony van Dyck
154,015ac63d265160e16967,mentioned on object,print maker,Amsterdam,Wouter Johannes van Troostwijk
155,015b2c4e502e66eea5b0,,,Venice,anonymous
156,015b31c6e13542737afb,,,Utrecht,anonymous
157,015f58fb12108e72e313,mentioned on object,,France,A. Mansuy
158,0161bb5c725b73091272,attributed to,,Pompeii,Giorgio Sommer
159,016c256c097f60002084,mentioned on object,print maker,France,Jean Berain (le Vieux)
160,01733fef3710fb738742,mentioned on object,print maker,Amsterdam,Simon Fokke
161,01749eb8b7bd770beb64,attributed to,,Rotterdam,J. Nolte
162,0174d6ad4a90d94c0698,,print maker,,Aegidius Sadeler
163,01774d5e850dbb2b712d,mentioned on object,publisher,,Karst Tjallings
164,0179d78af66f83e29a44,mentioned on object,print maker,Cologne,Johann Sadeler (I)
165,017bae12cc955218ec4e,,print maker,,Aegidius Sadeler
166,017d43681a8f7b356b01,,painter,Northern Netherlands,anonymous
167,017f4fe7d662027d99d3,,print maker,unknown,Aegidius Sadeler
168,017fc7c6272fba886fe1,mentioned on object,,Amsterdam,Albert Greiner
169,0182ee1aa703a5b0c7e3,mentioned on object,print maker,,W. Tringham
170,018700e1c5bbfb237801,mentioned on object,print maker,Northern Netherlands,Cornelis Brouwer
171,01871f25c5bb1f536cd0,mentioned on object,,,Alfredo Noack
172,0187211c659160028eef,,print maker,Paris,Theodoor van Thulden
173,018c987f9722d64862ea,,print maker,Antwerp,Cornelis Galle (I)
174,018d9721f90fcd35c82c,mentioned on object,,,Giuseppe Brachetti
175,018fe7dfa50a5d5694e1,,,,Falkeisen
176,0197ea0e455fc0cb9a94,,print maker,Netherlands,anonymous
177,0198cdf2f70681570d84,mentioned on object,print maker,Northern Netherlands,Jan van Vianen
178,019ab0ba23bbb711c12b,,,,Charles Piazzi Smyth
179,019c40fee41e861bfe45,mentioned on object,print maker,,Joseph Hartogensis
180,019ef39645a81828ad87,,,,Charles Thurston Thompson
181,01a16cb1adb74770f318,mentioned on object,print maker,unknown,Carl Cristiaan Fuchs
182,01a4ec2839e40df3b8ae,,,,Jacob Olie jr.
183,01a82e1284af9db03e5f,,,Brussels,Frank van der Salm
184,01a8717dd8cf00a38992,possibly,painter,Dordrecht,anonymous
185,01aa0ccd36770ec7748f,,,,L. Heldring
186,01af4ef83fcf54513f61,mentioned on object,print maker,Amsterdam,Daniël Veelwaard (I)
187,01b06253e895fee1565c,,,Netherlands,Richard Tepe
188,01b08bf9053e6c0114ba,mentioned on object,painter,Netherlands,Geo Poggenbeek
189,01b16315dccc5b9a1c01,mentioned on object,print maker,Cologne,Raphaël Sadeler (I)
190,01b95a5fa4545a90aeb0,,,Netherlands,anonymous
191,01bed1a8c8936b78076e,circle of,,Netherlands,Johanna Margaretha Piek
192,01c1d4a49d4d39e95c11,,,Venice,Giorgio Sommer
193,01c26f100c48daaf0327,,,France,anonymous
194,01dafc3faf951c9dad7e,,painter,,Jean Frédéric Schall
195,01e00c641a96e5279870,,,unknown,anonymous
196,01e2ba72e95045c61806,,,,Philip Henry Delamotte
197,01e761a6e6ff9481ddaf,workshop of,print maker,Amsterdam,Bernard Picart
198,01e88b863973d4976445,mentioned on object,,Italy,Giorgio Sommer
199,01e9a909346b597ea2d2,,print maker,unknown,Johann Sadeler (I)
200,01ec0b412b15ad585c6e,,painter,,Jacob Isaacksz van Ruisdael
201,01ece00117367c6a30a8,,print maker,Utrecht,Hermanus Jan Hendrik van Rijkelijkhuysen
202,01f3a92aae1b84967c22,,,,anonymous
203,01f48d061ea68358e5bd,mentioned on object,,Pompeii,Giorgio Sommer
204,01f69d58911fd9f4b5c7,copy after,painter,,Frans Hals
205,01f712c5f2b34c5380a1,mentioned on object,print maker,Netherlands,Hendrik Dethier
206,01f9d3e559b4afb367eb,mentioned on object,print maker,Amsterdam,Jacob van der Schley
207,02045594839cc2293daf,,,,Geldolph Adriaan Kessler
208,020583d049a24f5440cb,,painter,Batavia,anonymous
209,020664333282705ee3f0,,,,Geldolph Adriaan Kessler
210,0217c27fb52ee20af328,,painter,,Hendrik Cornelisz. Vroom
211,0219d71e66b62f68f60c,mentioned on object,painter,,Gabriël Metsu
212,021ae3abef96ae18f4d3,,print maker,,Eberhard Cornelis Rahms
213,0224c8635ae92634875c,possibly,,,O. Hisgen & Co.
214,022546f3500781e8a366,,print maker,,anonymous
215,0228d2f90f434940b94e,mentioned on object,,,Fratelli Alinari
216,022a1343a4624813e59f,workshop of,print maker,Amsterdam,Bernard Picart
217,022bece67c3d7e14b631,,,England,Geldolph Adriaan Kessler
219,022d10742ea4e2a22a5a,mentioned on object,publisher,Antwerp,G. Zazzarini et Cie.
218,022d10742ea4e2a22a5a,,,Antwerp,anonymous
220,022d2cef129e3a838ed6,,,Netherlands,anonymous
221,022fdb82222b1f9386eb,mentioned on object,,,Richard Tepe
222,02369c28df79914fa637,,print maker,Northern Netherlands,Jan Stolker
223,0238316ced93c61a3ec8,,painter,,Hippolyte Michaud
224,02418e7d21372cba24bd,,,Netherlands,Jacob Olie jr.
225,02446eeed6b27a7bcb8c,,,Suriname,Willem Diepraam
226,0244d4568f68323601b0,mentioned on object,print maker,Cologne,Raphaël Sadeler (I)
227,0245de1a598b0feef883,attributed to,painter,,Pieter Fransz. de Grebber
228,024995f49d74f9ccb9c9,,,,anonymous
229,024c330eebf08efae96e,,,Amsterdam,Peter Carstensen
230,024dc4b02ffd381381dd,,print maker,Netherlands,anonymous
231,0250207ddbda64dc6420,,print maker,Netherlands,anonymous
232,02511f9ee13daad4c746,attributed to,,,Augusta Curiel
233,0254a8aef0b9b9c0f70a,,painter,,Abraham Evertsz. van Westerveld
234,02578adbc7e177d010a1,,print maker,Netherlands,anonymous
235,025849d85c975d85ae87,mentioned on object,publisher,Antwerp,weduwe Hieronymus Cock
236,0259a3227d481c9cd530,,,,L. Heldring
237,0259c68671084513a4de,mentioned on object,print maker,,Jan Veenhuysen
238,025c3bf106e474865a7f,,print maker,Rotterdam,Joost van Geel
239,026133140ec8fc97261d,,,"Dutch East Indies, The",Ohannes Kurkdjian
240,02622ac1d9dccf6fdb50,attributed to,,,Francis Frith
241,02653fe0d486b6cb7f39,,,,Victor (fotograaf)
242,026c4a465c9608e66b8b,,,Persia,Antoine Sevruguin
243,026d8f287c8168cd3c1c,,painter,Netherlands,Jacob Cremer
244,026fdf905b49027cf302,mentioned on object,,,Augusta Curiel
245,02725086891647094499,mentioned on object,print maker,Antwerp,Johann Sadeler (I)
246,02735354ba2363911775,,painter,,Jan Miense Molenaer
247,0278a4065dd884e44584,,print maker,Netherlands,anonymous
248,02797296f0229832511d,mentioned on object,,The Hague,Herman Deutmann
249,027a4305a99a047f7ea6,attributed to,,Berlin,Willem Frederik Piek Jr.
250,027ab4de7b4ceffddc9b,,painter,,Gerard Dou
251,027b9778a22f4f518b98,mentioned on object,print maker,Utrecht,Hermanus Jan Hendrik van Rijkelijkhuysen
252,027f7c94ddecdfbcb7b2,,print maker,Amsterdam,Geertruydt Roghman
253,02811e4f1f05fa34a1c6,mentioned on object,print maker,Italy,Giovanni Battista Fontana
254,0281c590c373bbdddd3b,signed by artist,print maker,Amsterdam,Cornelis Ploos van Amstel
255,0282d1f49d0b304a11ed,attributed to,,Maastricht,anoniem (Monumentenzorg)
256,02835bacf09e2f02749f,possibly,print maker,Netherlands,Jan van Call (I)
257,02946731d36ef110dc43,attributed to,,Norway,Paul Güssfeldt
259,0294f92aefec44ed0d01,possibly,,,A.J.M. Mulder
258,0294f92aefec44ed0d01,attributed to,,,anoniem (Monumentenzorg)
260,0295c7260f23163e03a3,mentioned on object,print maker,,Adriaen Schoonebeek
261,0296a53cc117af96c859,,print maker,Amsterdam,Abraham Allard
262,0297c83876834f8ae7e8,,print maker,Northern Netherlands,anonymous
263,0298264debf59c85a0f1,mentioned on object,,,Peter Henry Emerson
264,02a01ea28d87bdaf231b,mentioned on object,print maker,Utrecht,Hermanus Jan Hendrik van Rijkelijkhuysen
265,02a44087ae0a05ff4054,,print maker,Northern Netherlands,Jan Stolker
266,02a6bbefeb2c1b86dce2,,,,anonymous
267,02a6c01f9fc8df64d68a,attributed to,,,anoniem (Monumentenzorg)
268,02a6c01f9fc8df64d68a,possibly,,,A.J.M. Mulder
269,02aa499962a5d4086ba4,,print maker,Southern Netherlands,Nicolaes Ryckmans
270,02ac1f30b3116a0ef57f,,,Netherlands,Jacob Olie jr.
271,02ae06ba1380750f394d,,painter,,Ludolf de Jongh
272,02b09562a699b0106e1b,,print maker,,unknown
273,02b5cb2f66401833693f,mentioned on object,print maker,Amsterdam,Roelant Roghman
274,02b668637a169ac6af8e,,,,anonymous
275,02bacfe951feceda64c6,,,England,anonymous
276,02bb2fd694198590443c,,print maker,Utrecht,Crispijn van de Passe (I)
277,02c013df302e34b7ac49,workshop of,print maker,Cologne,Frans Hogenberg
278,02c106642490a726b6cc,mentioned on object,,Naples,Giorgio Sommer
279,02c4a3c17bc9cb359a90,,,Batavia,Woodbury & Page
280,02c81c4a4e40d08769c3,,,,H.J. Tollens C. Hzn.
281,02c8edaa6024eac43011,mentioned on object,,Leiden,Jan Goedeljee
282,02cc29d3458c02597c8d,after,painter,Low Countries,Anthony van Dyck
283,02d0cd88d1f464a32d64,mentioned on object,,,Adolphe Braun et Cie.
284,02d1217e118599b05e90,,print maker,Haarlem,Hendrick Goltzius
285,02d2d4f37ebeb30e436b,attributed to,,Norway,Paul Güssfeldt
286,02d314a674bd82d37c50,,painter,,H.Th. Hesselaar
287,02da5fc992a48b366053,manner of,painter,,Arnold Boonen
289,02dd00828e67524dc7b2,possibly,,,A.J.M. Mulder
288,02dd00828e67524dc7b2,attributed to,,,anoniem (Monumentenzorg)
290,02dd650c01cff08b4a8a,attributed to,,Batavia,Woodbury & Page
291,02df00f9fec0044c1fad,,,,George Hendrik Breitner
292,02e4a96bd9e3384ed214,,painter,,David Pièrre Giottino Humbert de Superville
293,02e6f56ac1f4070baedf,,print maker,Utrecht,Crispijn van de Passe (I)
294,02e79a108c440e886622,mentioned on object,,France,Henri Le Secq
295,02ebc1262c9dbfffd45e,,print maker,Cologne,Crispijn van de Passe (I)
296,02f28cdc77c316a99035,mentioned on object,,,Pieter Koene
297,02f39d0cd4073dfba07c,mentioned on object,print maker,Amsterdam,Jacob van de Velde (graveur)
298,02f3ebae004b4d70f8a2,,,,anonymous
299,02f76e51f2122b2f5e3e,attributed to,painter,,Jacques Waben
300,02f78fab385710ef7cfa,,painter,,Abraham Salm
301,02f9b6ad0be1cb9af1b4,mentioned on object,,Bruges,Victor Daveluy
302,02fa620582ea0fc33ddf,workshop of,print maker,Amsterdam,Bernard Picart
303,02fbe670cf60db0d3ab3,mentioned on object,,Leiden,Bernardus Bruining
304,02fc046b862109026bab,mentioned on object,print maker,Amsterdam,Bernard Picart
305,02ff534074297bfbf374,mentioned on object,print maker,unknown,Johannes Glauber
306,02ffb56929626c4cc8f2,mentioned on object,,France,Achille Quinet
307,0300819e83a5d1a1c09d,mentioned on object,print maker,Germany,Heinrich Aldegrever
308,030414b750ce308a3b93,mentioned on object,print maker,Amsterdam,Abraham Rademaker
309,030720a02df16a13441b,mentioned on object,print maker,Amsterdam,Gerard Valck
310,030960402a0ba0f7ad82,attributed to,painter,,Cornelis de Man
311,03099c72abfce58dbd90,mentioned on object,print maker,Amsterdam,Abraham Rademaker
312,030d1b6e9eb8a6699457,,print maker,,Caspar Luyken
313,030d281a9615edccbc88,,painter,,Monogrammist IL (schilder)
314,030f7b3552802ee8f8e7,,,,Raphaël Sadeler (I)
315,0312466f760956bd0344,mentioned on object,print maker,Amsterdam,Jan Frederik Christiaan Reckleben
316,031387e06a2ad3a58f74,attributed to,painter,,Adriaen van Cronenburg
317,0313f888549e2710a0b7,,print maker,France,anonymous
318,03169bb8dd095e381572,mentioned on object,print maker,Northern Netherlands,Romeyn de Hooghe
319,03186e0380852aef37e0,mentioned on object,print maker,,Mathias de Sallieth
320,0318c8f2dff868cea27a,,,Netherlands,Jacob Olie jr.
321,031bc6e8b33e43055acb,,,,anonymous
322,031e6f3544b9685f71f1,,print maker,Cologne,Frans Hogenberg
323,031fc02036cafa3681f7,mentioned on object,print maker,The Hague,A. Lutz
324,0320c15ec895ed5a7b2a,,painter,Amsterdam,Jurriaan Andriessen
325,0327691b9e7cc57ec78e,attributed to,,France,Achille Quinet
326,0327cc3a2184522b79a5,mentioned on object,painter,,Domenicus van Tol
327,032b61876ec6141b6637,,,unknown,anonymous
328,0330c345d09528b74563,mentioned on object,print maker,Southern Netherlands,Boëtius Adamsz. Bolswert
329,0334abe84b5da4734899,,,Rome,anonymous
330,0334b7f3a7a615f2e68d,mentioned on object,print maker,Antwerp,Johann Sadeler (I)
331,033af105de49b55a8ee3,,,Rome,anonymous
332,033e998fa8727ad3abd0,mentioned on object,print maker,,Raphaël Sadeler (II)
333,033f64a358fadcc2a00c,,,Paris,G. Dangereux
334,033f8b19f01cc1a5d7a3,,,"Dutch East Indies, The",Ohannes Kurkdjian
335,0344a850a8f1f61638ad,mentioned on object,,The Hague,Gustaaf Adolf Mögle
336,03494c9028ff531d06bf,mentioned on object,print maker,Venice,Raphaël Sadeler (I)
337,034b4fced703f8688eb8,,,England,anonymous
338,034e533661b6ece63e42,mentioned on object,,,C. van der Aa & J. Chrispijn
339,034f4de121cb04f38696,,painter,,Jan Havicksz. Steen
340,035223e9e658b3f4d42c,workshop of,print maker,Amsterdam,Bernard Picart
341,0355a5ebb2869f3b00ab,,print maker,Amsterdam,Claes Jansz. Visscher (II)
342,03572c2c04fda0fd8628,attributed to,,,anoniem (Monumentenzorg)
343,03572c2c04fda0fd8628,possibly,,,A.J.M. Mulder
344,0357c08684df19bbf8cf,,,Surabaya,Herman Salzwedel
345,035a35ed3a8af60ba654,,print maker,Amsterdam,Simon Fokke
346,035b326df074f047b06a,mentioned on object,print maker,Utrecht,Hermanus Jan Hendrik van Rijkelijkhuysen
347,03628804a9c7adab6a6d,attributed to,,Maastricht,anoniem (Monumentenzorg)
348,0363491c2c0ba68c3519,,,Rome,anonymous
349,0363fb1b71018017120e,mentioned on object,print maker,unknown,Aegidius Sadeler
350,0364cbbab875a9c3a7f9,mentioned on object,print maker,Rotterdam,Mathias de Sallieth
351,03651acb367c4fc61fc4,attributed to,,London,C.M. Ferrier & F. von Martens
352,03665773597527ca303d,,painter,,Govert Flinck
353,0366a0453075362b56b3,attributed to,,Brussels,Jacques Lalaing
354,03698894115b526fe5c7,mentioned on object,,,Richard Allen & Son
355,03794388d468b894d3ce,,,Antwerp,Johann Sadeler (I)
356,037adfe4675523894d63,,,Batavia,Woodbury & Page
357,037c264b00b1168e9503,,,,anonymous
358,03802f7bda3dd633d2d3,,print maker,Low Countries,Monogrammist IG
359,03813fa7e55f64d8a1dd,,print maker,Amsterdam,Elisabeth Barbara Schmetterling
360,0382a2cce648eed025d2,workshop of,painter,,Jean Baptiste Vanmour
361,03851df7129c8ae9a040,,print maker,,Adriaen van Diest
362,0386c734d48886b71b40,mentioned on object,,,Maurits Verveer
363,038745afd3ef566a62e0,,print maker,Northern Netherlands,Jan Stolker
364,038a87be66007216ffea,attributed to,,France,Édouard Denis Baldus
365,038b07c0b0eacb0da6de,,,,L. Heldring
366,038d2917c137b9e2a2e3,,painter,,Ludolf Bakhuysen
367,03914687e6836baf8c69,,print maker,,Raphaël Sadeler (I)
368,0392eb3dcbe63546d441,,,unknown,anonymous
369,03985c9dd5006d7f759d,possibly,,,Giacomo Brogi
370,039b79b320f56cacbe2b,,painter,,Johann Georg Ziesenis
371,039f2eb1c3b30872e83c,workshop of,print maker,Netherlands,Bernard Picart
372,03a0a130c5c80838d34a,mentioned on object,painter,,Abraham van den Tempel
373,03a3b03b7e6cb309302f,,print maker,unknown,Carl Cristiaan Fuchs
374,03a4546268022b377943,,painter,,Willem Gruyter jr.
375,03a8cd1bc0e1a0f8731c,mentioned on object,print maker,Netherlands,Charles Rochussen
376,03aa9cf73f72bcef8273,,print maker,,Jan Harmensz. Muller
377,03ab459047edde60c0a1,,painter,,Pauwels van Hillegaert
378,03ac0ed10184d66e8069,,,,anonymous
379,03ad8cb1fea85389109f,,painter,Rome,Abraham Brueghel
380,03adcef1ad437bb9ed6e,mentioned on object,print maker,unknown,Aegidius Sadeler
381,03afcfe5c556c310a968,mentioned on object,,Amsterdam,Johannes Leonardus van der Heijden
383,03b1a3fa88551ded8c7d,possibly,publisher,Amsterdam,Andries Jager
382,03b1a3fa88551ded8c7d,,,,anonymous
384,03b293e3aa601cfcf09b,,,Paris,Édouard Denis Baldus
385,03b6129ec36dd19d1d27,possibly,,Java,Kassian Céphas
386,03b6ac340c1cac6f6ddf,mentioned on object,,,Fratelli Alinari
387,03b7a2f6a62e9a38d05a,mentioned on object,print maker,Paris,Gabriel Huquier
