object_id,percentage,hex
005ed2032b2856e856f8,0, #59544B
005ed2032b2856e856f8,5, #B6A67C
005ed2032b2856e856f8,3, #736E60
005ed2032b2856e856f8,3, #F9F5E2
005ed2032b2856e856f8,0, #43403B
005ed2032b2856e856f8,2, #8F876F
005ed2032b2856e856f8,84,#CDC5B0
006421a3e38e81462d7c,3, #6C685D
006421a3e38e81462d7c,0,#FFFFFE
006421a3e38e81462d7c,61, #C5BBA3
006421a3e38e81462d7c,17, #ECE4D1
006421a3e38e81462d7c,1, #47443D
006421a3e38e81462d7c,15, #938E81
0070b81c272c4ba6bd14,6, #C6B8A4
0070b81c272c4ba6bd14,2, #918475
0070b81c272c4ba6bd14,73, #E2DDBF
0070b81c272c4ba6bd14,16, #F8F6E9
0070b81c272c4ba6bd14,0, #8798AE
0070b81c272c4ba6bd14,0,#54514C
00729dd41140851737da,11, #9E937D
00729dd41140851737da,15, #87795F
00729dd41140851737da,19, #BCAE91
00729dd41140851737da,21, #D3C8AC
00729dd41140851737da,9,#F0EDE2
00729dd41140851737da,22, #625542
007898ec2976b7da6a03,6,#F2ECE3
007898ec2976b7da6a03,6, #3F3D39
007898ec2976b7da6a03,27, #807B72
007898ec2976b7da6a03,16, #615C56
007898ec2976b7da6a03,23, #CDC5B8
007898ec2976b7da6a03,19, #A8A197
00815fc74c56fba4c9f0,18, #D1CCBB
00815fc74c56fba4c9f0,19, #6E6B5F
00815fc74c56fba4c9f0,10, #504E45
00815fc74c56fba4c9f0,2, #31312C
00815fc74c56fba4c9f0,28,#938F82
00815fc74c56fba4c9f0,7, #F2EFE1
00815fc74c56fba4c9f0,13, #B3AE9F
00846349f5eedc496cc4,24, #E3DECD
00846349f5eedc496cc4,11, #553E32
00846349f5eedc496cc4,4, #7C6A79
00846349f5eedc496cc4,5,#F9F8F7
00846349f5eedc496cc4,45, #CAC5AF
00846349f5eedc496cc4,7, #A59DA0
008498d30a0a399ed2a7,16, #2A281C
008498d30a0a399ed2a7,20, #887954
008498d30a0a399ed2a7,41,#514934
008498d30a0a399ed2a7,0, #A7925E
008498d30a0a399ed2a7,5, #7A6137
008498d30a0a399ed2a7,0, #BDAA7D
008498d30a0a399ed2a7,15, #929282
00888467e4d7da520386,3, #070F17
00888467e4d7da520386,34,#302D34
00888467e4d7da520386,31, #7A5834
00888467e4d7da520386,8, #D5C7A9
00888467e4d7da520386,0, #69818E
00888467e4d7da520386,0, #FAF3D4
00888467e4d7da520386,20, #B39A73
008c79c5c60e42e9e38a,0,#E0D284
008c79c5c60e42e9e38a,48, #18130A
008c79c5c60e42e9e38a,14, #AFA979
008c79c5c60e42e9e38a,10, #443D23
008c79c5c60e42e9e38a,11, #8B845B
008c79c5c60e42e9e38a,14, #635B3D
009094daa102920f2aa2,16, #84745C
009094daa102920f2aa2,10, #100F0E
009094daa102920f2aa2,14, #392D24
009094daa102920f2aa2,31,#6A5641
009094daa102920f2aa2,0, #EDEDE7
009094daa102920f2aa2,15, #D3D3C2
009094daa102920f2aa2,10, #ADA793
009194c7c406e70fcc73,15, #CCC6B2
009194c7c406e70fcc73,34, #767366
009194c7c406e70fcc73,31, #45443B
009194c7c406e70fcc73,0,#E5DFCA
009194c7c406e70fcc73,18, #A49F8D
009194c7c406e70fcc73,0, #F9F6E7
009c74da95bb44918462,9, #0B0E2F
009c74da95bb44918462,6, #CAC8C5
009c74da95bb44918462,0, #314F7A
009c74da95bb44918462,12, #838989
009c74da95bb44918462,0, #9D7617
009c74da95bb44918462,46,#F3F2EA
009c74da95bb44918462,24, #65403D
009cc381a550603d4042,6, #35312A
009cc381a550603d4042,17, #817867
009cc381a550603d4042,8, #BDB29B
009cc381a550603d4042,9, #A09787
009cc381a550603d4042,16, #544E43
009cc381a550603d4042,14, #F6F2E9
009cc381a550603d4042,26,#DBCFB8
00af690c350de8730119,10, #484342
00af690c350de8730119,0,#FEFBEE
00af690c350de8730119,36, #E7DDD3
00af690c350de8730119,8, #A49D95
00af690c350de8730119,24, #C1B9B0
00af690c350de8730119,19, #79716F
00b029290ec0125656a0,15, #595037
00b029290ec0125656a0,2, #894520
00b029290ec0125656a0,0, #BDAC6C
00b029290ec0125656a0,16, #211F11
00b029290ec0125656a0,3, #A28D50
00b029290ec0125656a0,8, #846D38
00b029290ec0125656a0,52,#46381D
00bae35332e069253ac5,25, #5C584D
00bae35332e069253ac5,34, #A9ABA8
00bae35332e069253ac5,11, #8E897F
00bae35332e069253ac5,6, #73746E
00bae35332e069253ac5,8,#CACDCA
00bae35332e069253ac5,13, #453729
00c1cdbf0a76c047557d,30,#AF8662
00c1cdbf0a76c047557d,18, #D7BD7D
00c1cdbf0a76c047557d,2, #EFDF9E
00c1cdbf0a76c047557d,19, #503E39
00c1cdbf0a76c047557d,4, #2D2323
00c1cdbf0a76c047557d,19, #785145
00c1cdbf0a76c047557d,4, #A1584A
00c662ae2f935e296061,3, #454A51
00c662ae2f935e296061,7,#F6F2E7
00c662ae2f935e296061,3, #C39D74
00c662ae2f935e296061,5, #827E72
00c662ae2f935e296061,80, #E3CA89
00c662ae2f935e296061,0, #AA6D54
00cd348d09e7d5bed69e,6, #C0AA70
00cd348d09e7d5bed69e,60,#453225
00cd348d09e7d5bed69e,2, #9E9CAA
00cd348d09e7d5bed69e,2, #C1C2D9
00cd348d09e7d5bed69e,27, #7D7065
00cd348d09e7d5bed69e,1, #EDEDFA
00cd348d09e7d5bed69e,0, #E9DBA6
00cdcebad9cf8f08dfe8,13, #ACA284
00cdcebad9cf8f08dfe8,33,#3B382A
00cdcebad9cf8f08dfe8,9, #796D54
00cdcebad9cf8f08dfe8,16, #211F19
00cdcebad9cf8f08dfe8,18, #61553C
00cdcebad9cf8f08dfe8,3, #CEC3A6
00cdcebad9cf8f08dfe8,5, #92866B
00cf45a1f5848cf2d958,39,#CEC8B8
00cf45a1f5848cf2d958,23, #9A9387
00cf45a1f5848cf2d958,3, #4F463B
00cf45a1f5848cf2d958,14, #B7AFA0
00cf45a1f5848cf2d958,7, #2D251A
00cf45a1f5848cf2d958,3, #EEEDE9
00cf45a1f5848cf2d958,8, #756D61
00d0e653494d5ae79349,26, #4E341E
00d0e653494d5ae79349,0, #916D4D
00d0e653494d5ae79349,0, #A8835E
00d0e653494d5ae79349,67,#22160D
00d0e653494d5ae79349,5, #6C593E
00d0e653494d5ae79349,0, #704C16
00d47d7a594eac994942,5, #837964
00d47d7a594eac994942,0, #645849
00d47d7a594eac994942,1, #251C11
00d47d7a594eac994942,19, #DFD6BE
00d47d7a594eac994942,3, #4B3E2F
00d47d7a594eac994942,51,#F7F4E8
00d47d7a594eac994942,18, #B8AF9A
00d601332278b5dad17e,38,#D2CAB6
00d601332278b5dad17e,31, #ACA28C
00d601332278b5dad17e,5, #7C725E
00d601332278b5dad17e,0, #42331E
00d601332278b5dad17e,1, #EFE9D8
00d601332278b5dad17e,12, #8F8571
00d601332278b5dad17e,9, #59574F
00ddae27ad7125e35626,16, #A8A08C
00ddae27ad7125e35626,3, #615849
00ddae27ad7125e35626,2, #1F1910
00ddae27ad7125e35626,38,#DAD4C0
00ddae27ad7125e35626,4, #887F6A
00ddae27ad7125e35626,34, #F7F5EB
00e22e3143f028d816be,30, #3C372D
00e22e3143f028d816be,32, #807A6F
00e22e3143f028d816be,7, #A9A8A5
00e22e3143f028d816be,6, #1A1812
00e22e3143f028d816be,4,#020201
00e22e3143f028d816be,18, #685B48
00e2e2af2714aa26c058,68, #D4CCB9
00e2e2af2714aa26c058,2, #FAF6EB
00e2e2af2714aa26c058,11,#7C776A
00e2e2af2714aa26c058,2, #37342D
00e2e2af2714aa26c058,6, #585348
00e2e2af2714aa26c058,8, #A49D8E
00e337899746e5de5831,20, #6F6D6A
00e337899746e5de5831,6, #93918D
00e337899746e5de5831,54, #433E3A
00e337899746e5de5831,7, #DDDCD2
00e337899746e5de5831,7, #B9B7AF
00e337899746e5de5831,3,#F7F7F5
00e7ad0e29f4a41e63b8,11,#5E5041
00e7ad0e29f4a41e63b8,13, #BBA482
00e7ad0e29f4a41e63b8,29, #847664
00e7ad0e29f4a41e63b8,10, #1A1417
00e7ad0e29f4a41e63b8,7, #3A302D
00e7ad0e29f4a41e63b8,27, #D5C0A7
00ec7f094af992f62fb6,8, #7B8C82
00ec7f094af992f62fb6,12, #403B2B
00ec7f094af992f62fb6,10, #826F5C
00ec7f094af992f62fb6,16, #AC9F88
00ec7f094af992f62fb6,1, #565B4B
00ec7f094af992f62fb6,47,#16130B
00ec7f094af992f62fb6,2, #764C3A
00fbbe631b69b6e7ead7,78, #261506
00fbbe631b69b6e7ead7,3, #68542E
00fbbe631b69b6e7ead7,12,#553518
00fbbe631b69b6e7ead7,0, #BDAC7D
00fbbe631b69b6e7ead7,3, #766D50
00fbbe631b69b6e7ead7,1, #98895F
00fe6fe2e57cf241cee0,13, #97937F
00fe6fe2e57cf241cee0,1, #DFDBC6
00fe6fe2e57cf241cee0,18, #7B7766
00fe6fe2e57cf241cee0,23, #BCB79B
00fe6fe2e57cf241cee0,8,#F7F6EB
00fe6fe2e57cf241cee0,35, #5B5646
00fe780f0b88065a8154,1, #B3A576
00fe780f0b88065a8154,52,#E3DCBD
00fe780f0b88065a8154,10, #857956
00fe780f0b88065a8154,6, #313021
00fe780f0b88065a8154,22, #564F32
00fe780f0b88065a8154,7, #C8BE96
010698c1fbc7fcff11a8,16, #CDC6B3
010698c1fbc7fcff11a8,6, #3E3A31
010698c1fbc7fcff11a8,19, #AFA891
010698c1fbc7fcff11a8,22, #857E6C
010698c1fbc7fcff11a8,21,#F1EDDA
010698c1fbc7fcff11a8,13, #5C5548
0106d9de2f9dbaa6c380,43,#3B3125
0106d9de2f9dbaa6c380,0, #BBBDC4
0106d9de2f9dbaa6c380,1, #D9CB8D
0106d9de2f9dbaa6c380,10, #A99469
0106d9de2f9dbaa6c380,38, #6D5A44
0106d9de2f9dbaa6c380,0, #120A06
0106d9de2f9dbaa6c380,5, #ECE8C5
0108d1513c51faa1e46c,4, #EBE5D3
0108d1513c51faa1e46c,6, #CEC5B3
0108d1513c51faa1e46c,55, #615952
0108d1513c51faa1e46c,19, #888078
0108d1513c51faa1e46c,8,#FCFBF7
0108d1513c51faa1e46c,5, #ACA59A
0109ea95b45d61c86a95,0,#75756E
0109ea95b45d61c86a95,30, #D8D3C3
0109ea95b45d61c86a95,12, #B3A592
0109ea95b45d61c86a95,0, #8D7D69
0109ea95b45d61c86a95,9, #9D8E7A
0109ea95b45d61c86a95,45, #C2BDAD
010db4a37e38f02d49ef,7, #3B403C
010db4a37e38f02d49ef,10, #302618
010db4a37e38f02d49ef,11, #6A3F28
010db4a37e38f02d49ef,31,#695743
010db4a37e38f02d49ef,14, #C3B58C
010db4a37e38f02d49ef,24, #AE9A63
010db4a37e38f02d49ef,0, #E5DAB9
011596145672eab69f14,0, #FEFEF8
011596145672eab69f14,0, #6B6968
011596145672eab69f14,5, #8D8681
011596145672eab69f14,0, #CA9B7E
011596145672eab69f14,4, #B8AB9E
011596145672eab69f14,82,#E9E2DA
011596145672eab69f14,5, #CEC6BB
011cddc266c0beda7e76,15, #A1A090
011cddc266c0beda7e76,8, #53564C
011cddc266c0beda7e76,27, #77786B
011cddc266c0beda7e76,8,#F9F7EC
011cddc266c0beda7e76,35, #D4CFBC
011cddc266c0beda7e76,4, #383A35
011f9f90b10c00780805,12, #C7D9C8
011f9f90b10c00780805,8, #DBE395
011f9f90b10c00780805,3, #49704B
011f9f90b10c00780805,39,#EFF2DF
011f9f90b10c00780805,1, #294641
011f9f90b10c00780805,19, #809468
011f9f90b10c00780805,14, #AEBE8B
0128e8dd0bb176e72e7b,0,#ECE5CE
0128e8dd0bb176e72e7b,38, #464536
0128e8dd0bb176e72e7b,13, #7A7857
0128e8dd0bb176e72e7b,23, #BCB58E
0128e8dd0bb176e72e7b,7, #D3CDB4
0128e8dd0bb176e72e7b,16, #9E9B71
012e4960cf03cc12fd79,5, #D0BE9B
012e4960cf03cc12fd79,36, #4E3F2E
012e4960cf03cc12fd79,9, #AB9366
012e4960cf03cc12fd79,23, #7D694C
012e4960cf03cc12fd79,25,#1F1A12
012e4960cf03cc12fd79,0, #F2E6C8
012f11dd648c1d522ae3,16, #7B7664
012f11dd648c1d522ae3,18,#BCB6A1
012f11dd648c1d522ae3,14, #5F5A4A
012f11dd648c1d522ae3,17, #E1DCC6
012f11dd648c1d522ae3,8, #989280
012f11dd648c1d522ae3,9, #3D3A2F
012f11dd648c1d522ae3,14, #F5F3E7
0133a7166542e02c1564,60, #15100B
0133a7166542e02c1564,8, #81745E
0133a7166542e02c1564,6, #BAA36A
0133a7166542e02c1564,13,#665439
0133a7166542e02c1564,9, #433220
0133a7166542e02c1564,1, #F0E5B3
01377a5d7623c7703917,1, #F9F6E2
01377a5d7623c7703917,2, #E5DCB4
01377a5d7623c7703917,33,#0B0804
01377a5d7623c7703917,25, #302513
01377a5d7623c7703917,12, #837955
01377a5d7623c7703917,12, #564C2E
01377a5d7623c7703917,13, #B5AC86
013ce5f3e29c6de7f86d,13, #575141
013ce5f3e29c6de7f86d,13, #918564
013ce5f3e29c6de7f86d,52,#6F6750
013ce5f3e29c6de7f86d,14, #41392B
013ce5f3e29c6de7f86d,5, #26231C
013ce5f3e29c6de7f86d,0, #ACA17C
01429677d183726f36fb,3, #1E2718
01429677d183726f36fb,17, #444833
01429677d183726f36fb,18,#F6F3D9
01429677d183726f36fb,10, #6B6B52
01429677d183726f36fb,32, #C0BDA4
01429677d183726f36fb,18, #8E8C73
0142e9fe6b370acf3087,2, #56553F
0142e9fe6b370acf3087,13, #493F23
0142e9fe6b370acf3087,2, #6E6D53
0142e9fe6b370acf3087,47,#221F13
0142e9fe6b370acf3087,1, #778894
0142e9fe6b370acf3087,13, #9BA094
0142e9fe6b370acf3087,18, #757D75
0143224ed3bcbeda6ec1,71,#F7F7F2
0143224ed3bcbeda6ec1,3, #848273
0143224ed3bcbeda6ec1,3, #696759
0143224ed3bcbeda6ec1,1, #47453A
0143224ed3bcbeda6ec1,9, #DBD7C1
0143224ed3bcbeda6ec1,10, #ACA998
01493ec0124e65d71ed2,10, #CBC7B6
01493ec0124e65d71ed2,8, #48473F
01493ec0124e65d71ed2,19, #6D6B62
01493ec0124e65d71ed2,38,#E7E5DD
01493ec0124e65d71ed2,1, #FEFEFE
01493ec0124e65d71ed2,9, #8C8A81
01493ec0124e65d71ed2,12, #ABA99E
014fa635e8796ff2fbc8,45,#EAE2D4
014fa635e8796ff2fbc8,9, #89837C
014fa635e8796ff2fbc8,12, #A7A197
014fa635e8796ff2fbc8,5, #C1BBB0
014fa635e8796ff2fbc8,5, #6E6862
014fa635e8796ff2fbc8,21, #464340
01502ae363a165ae098c,50,#522B15
01502ae363a165ae098c,5, #7A6F4F
01502ae363a165ae098c,35, #0F0D06
01502ae363a165ae098c,0, #9F997B
01502ae363a165ae098c,0, #95835F
01502ae363a165ae098c,6, #604E30
01569965fe1c8496c577,16, #DCD5BE
01569965fe1c8496c577,10, #897E6C
01569965fe1c8496c577,21, #5E544D
01569965fe1c8496c577,3, #9E988D
01569965fe1c8496c577,14, #362A25
01569965fe1c8496c577,25,#F5F3E9
01569965fe1c8496c577,7, #C0B69F
01580dea3c21c520b6da,17, #997E45
01580dea3c21c520b6da,4, #AA955F
01580dea3c21c520b6da,13, #66502B
01580dea3c21c520b6da,15, #4C371F
01580dea3c21c520b6da,28,#7D6433
01580dea3c21c520b6da,0, #BEAE79
01580dea3c21c520b6da,19, #292016
016c256c097f60002084,4, #5C594F
016c256c097f60002084,9, #FBFAF6
016c256c097f60002084,5, #959286
016c256c097f60002084,5, #C8C5B6
016c256c097f60002084,10, #AEAB9C
016c256c097f60002084,57,#E5E1D1
016c256c097f60002084,6, #817D71
01733fef3710fb738742,4, #313328
01733fef3710fb738742,18, #505043
01733fef3710fb738742,2, #FBF8E7
01733fef3710fb738742,15, #6A695A
01733fef3710fb738742,12, #B1AE9F
01733fef3710fb738742,16, #898778
01733fef3710fb738742,31,#DDDAC9
01749eb8b7bd770beb64,10, #6B6759
01749eb8b7bd770beb64,7, #F1F0E4
01749eb8b7bd770beb64,44,#BBB7A1
01749eb8b7bd770beb64,9, #191612
01749eb8b7bd770beb64,10, #3F3B35
01749eb8b7bd770beb64,8, #D5D2BD
01749eb8b7bd770beb64,9, #939081
0174d6ad4a90d94c0698,7, #CDC8B9
0174d6ad4a90d94c0698,28,#403F37
0174d6ad4a90d94c0698,18, #918E80
0174d6ad4a90d94c0698,25, #68675A
0174d6ad4a90d94c0698,10, #B0AC9D
0174d6ad4a90d94c0698,8, #EDE7D5
0174d6ad4a90d94c0698,1, #FDFBF3
01774d5e850dbb2b712d,80,#F9F7F1
01774d5e850dbb2b712d,1, #6D6656
01774d5e850dbb2b712d,1, #857D6C
01774d5e850dbb2b712d,5, #A7A090
01774d5e850dbb2b712d,0, #554E42
01774d5e850dbb2b712d,8, #E8DEC5
01774d5e850dbb2b712d,2, #D2C6AC
017d43681a8f7b356b01,1,#EBE2D2
017d43681a8f7b356b01,15, #4F432D
017d43681a8f7b356b01,2, #C7B9A3
017d43681a8f7b356b01,75, #15120D
017d43681a8f7b356b01,2, #94856C
017d43681a8f7b356b01,3, #7C6742
017f4fe7d662027d99d3,13,#F4F1E4
017f4fe7d662027d99d3,14, #9E9B89
017f4fe7d662027d99d3,10, #3B3C2E
017f4fe7d662027d99d3,12, #BCB7A5
017f4fe7d662027d99d3,21, #D9D4C0
017f4fe7d662027d99d3,27, #73725F
0187211c659160028eef,15, #D9D1BF
0187211c659160028eef,22, #C0B7A8
0187211c659160028eef,3, #3C3936
0187211c659160028eef,14, #7B746B
0187211c659160028eef,11, #5F5A54
0187211c659160028eef,6, #F6F0DC
0187211c659160028eef,25,#9A9286
018c987f9722d64862ea,23, #DCD7C8
018c987f9722d64862ea,20, #6A675D
018c987f9722d64862ea,32, #979388
018c987f9722d64862ea,6, #3B3933
018c987f9722d64862ea,13, #B7B2A6
018c987f9722d64862ea,2,#FAF8EA
0197ea0e455fc0cb9a94,2, #D1CABE
0197ea0e455fc0cb9a94,3, #8A847A
0197ea0e455fc0cb9a94,7, #4A453D
0197ea0e455fc0cb9a94,7, #6E6960
0197ea0e455fc0cb9a94,3, #A7A197
0197ea0e455fc0cb9a94,74,#F7F1E4
019ab0ba23bbb711c12b,13, #ADA685
019ab0ba23bbb711c12b,11, #8B805F
019ab0ba23bbb711c12b,9, #513A22
019ab0ba23bbb711c12b,22, #E2E1CF
019ab0ba23bbb711c12b,34,#CCC9AB
019ab0ba23bbb711c12b,7, #705E3E
019ab0ba23bbb711c12b,0, #F6F5E2
019ef39645a81828ad87,16, #837563
019ef39645a81828ad87,3, #9E9685
019ef39645a81828ad87,1, #E0DCC5
019ef39645a81828ad87,3, #C3BBA3
019ef39645a81828ad87,19, #221A17
019ef39645a81828ad87,2, #F6F6F0
019ef39645a81828ad87,53,#53463C
01a16cb1adb74770f318,0, #5E594E
01a16cb1adb74770f318,9, #F5EEDE
01a16cb1adb74770f318,9, #E0DAC9
01a16cb1adb74770f318,15, #8E887A
01a16cb1adb74770f318,35,#AFA899
01a16cb1adb74770f318,27, #CEC7B6
01a16cb1adb74770f318,2, #736D60
01a4ec2839e40df3b8ae,50, #9E9C87
01a4ec2839e40df3b8ae,3,#040402
01a4ec2839e40df3b8ae,12, #33362C
01a4ec2839e40df3b8ae,12, #191A13
01a4ec2839e40df3b8ae,7, #5B5A46
01a4ec2839e40df3b8ae,13, #7C7D68
01a8717dd8cf00a38992,42, #080807
01a8717dd8cf00a38992,6, #A79C85
01a8717dd8cf00a38992,28, #3B3224
01a8717dd8cf00a38992,12, #6A5942
01a8717dd8cf00a38992,3, #83755E
01a8717dd8cf00a38992,5,#C3BCA8
01aa0ccd36770ec7748f,21, #856E5D
01aa0ccd36770ec7748f,15, #5B4235
01aa0ccd36770ec7748f,7,#A79586
01aa0ccd36770ec7748f,23, #C1AF9B
01aa0ccd36770ec7748f,26, #D2C8B8
01aa0ccd36770ec7748f,5, #F4EDE1
01b06253e895fee1565c,6, #E3DFCA
01b06253e895fee1565c,10, #C4C1AD
01b06253e895fee1565c,39, #56554B
01b06253e895fee1565c,22, #82806F
01b06253e895fee1565c,5,#F6F4E9
01b06253e895fee1565c,14, #A29F8F
01b08bf9053e6c0114ba,1, #463427
01b08bf9053e6c0114ba,3, #9D8D64
01b08bf9053e6c0114ba,8, #A99D7F
01b08bf9053e6c0114ba,19, #848456
01b08bf9053e6c0114ba,27,#746C4A
01b08bf9053e6c0114ba,17, #C1B694
01b08bf9053e6c0114ba,22, #5E5135
01b95a5fa4545a90aeb0,2, #AFA77D
01b95a5fa4545a90aeb0,4, #997B55
01b95a5fa4545a90aeb0,4, #F8F7E6
01b95a5fa4545a90aeb0,3,#D3CFB0
01b95a5fa4545a90aeb0,44, #724B2D
01b95a5fa4545a90aeb0,40, #191307
01dafc3faf951c9dad7e,26, #574A38
01dafc3faf951c9dad7e,3, #E8D495
01dafc3faf951c9dad7e,6, #C8B270
01dafc3faf951c9dad7e,1, #A19F7F
01dafc3faf951c9dad7e,41,#1F2026
01dafc3faf951c9dad7e,21, #9F724E
01e00c641a96e5279870,1, #F6F7EF
01e00c641a96e5279870,13, #6D6048
01e00c641a96e5279870,0, #56462B
01e00c641a96e5279870,2, #AAA08A
01e00c641a96e5279870,1, #C4C0B3
01e00c641a96e5279870,41,#8D8167
01e00c641a96e5279870,38, #E3E2D9
01e2ba72e95045c61806,8, #C2BDB0
01e2ba72e95045c61806,26, #867F77
01e2ba72e95045c61806,18, #41372C
01e2ba72e95045c61806,0, #F4F3F1
01e2ba72e95045c61806,13, #655D54
01e2ba72e95045c61806,2, #DBDAD6
01e2ba72e95045c61806,29,#A49F93
01e761a6e6ff9481ddaf,0, #474343
01e761a6e6ff9481ddaf,2, #605B58
01e761a6e6ff9481ddaf,33,#F6EFDE
01e761a6e6ff9481ddaf,16, #A59E93
01e761a6e6ff9481ddaf,6, #7E7873
01e761a6e6ff9481ddaf,40, #D2CBBB
01e88b863973d4976445,15, #605247
01e88b863973d4976445,23, #CBC1AA
01e88b863973d4976445,6, #2D2924
01e88b863973d4976445,8, #A19785
01e88b863973d4976445,35,#F3F0E3
01e88b863973d4976445,10, #877863
01ec0b412b15ad585c6e,7, #7B7849
01ec0b412b15ad585c6e,10, #483D17
01ec0b412b15ad585c6e,1, #9F9B73
01ec0b412b15ad585c6e,3, #89865A
01ec0b412b15ad585c6e,21, #5F5E34
01ec0b412b15ad585c6e,8, #31230F
01ec0b412b15ad585c6e,46,#1C1209
01ece00117367c6a30a8,46, #E0D9CA
01ece00117367c6a30a8,9, #9C9687
01ece00117367c6a30a8,19, #726D5F
01ece00117367c6a30a8,6, #424036
01ece00117367c6a30a8,0,#FDF6E8
01ece00117367c6a30a8,17, #BBB4A6
01f3a92aae1b84967c22,12,#716A61
01f3a92aae1b84967c22,48, #4D4037
01f3a92aae1b84967c22,15, #EAE5DC
01f3a92aae1b84967c22,3, #BEB6A6
01f3a92aae1b84967c22,18, #201E1C
01f3a92aae1b84967c22,2, #9F9584
01f712c5f2b34c5380a1,20, #3B3733
01f712c5f2b34c5380a1,7, #AFA69B
01f712c5f2b34c5380a1,39, #D6CBBF
01f712c5f2b34c5380a1,9, #635D57
01f712c5f2b34c5380a1,12, #878077
01f712c5f2b34c5380a1,9,#F8F0EA
01f9d3e559b4afb367eb,27, #E1DBC7
01f9d3e559b4afb367eb,32, #6E6B5C
01f9d3e559b4afb367eb,9, #C5BFAC
01f9d3e559b4afb367eb,6,#FBF9E8
01f9d3e559b4afb367eb,4, #423F36
01f9d3e559b4afb367eb,20, #A19C8A
020583d049a24f5440cb,0, #C7B991
020583d049a24f5440cb,2, #9F8764
020583d049a24f5440cb,54,#1D1912
020583d049a24f5440cb,1, #B8A179
020583d049a24f5440cb,1, #7E6E54
020583d049a24f5440cb,34, #583D2C
020583d049a24f5440cb,4, #72553C
020664333282705ee3f0,21, #322F27
020664333282705ee3f0,19,#C0BBA6
020664333282705ee3f0,12, #928D7B
020664333282705ee3f0,29, #F1EEDA
020664333282705ee3f0,9, #4F4B41
020664333282705ee3f0,7, #6E6B5E
0217c27fb52ee20af328,10, #8C7B5D
0217c27fb52ee20af328,36,#AAA48C
0217c27fb52ee20af328,9, #615B48
0217c27fb52ee20af328,11, #463F33
0217c27fb52ee20af328,14, #CCC1AA
0217c27fb52ee20af328,17, #272620
0219d71e66b62f68f60c,13, #49504D
0219d71e66b62f68f60c,33, #241E1D
0219d71e66b62f68f60c,26, #897752
0219d71e66b62f68f60c,1, #B5B29F
