name,place_of_birth,date_of_birth,date_of_death,place_of_death,nationality
Arnold Boonen,Dordrecht,1669,1729-10-02,Amsterdam,
Arnold Genthe,Berlijn,1896-01-08,1942-08-09,,
Arnold Houbraken,Dordrecht,1660-03-28,1719-10-14,Amsterdam,
Arnold Nelius Marinus Johannes Fock,Utrecht,1846-06-19,1901-04-22,Utrecht,
Arnoud van Halen,Amsterdam,1673,1732-07-15,Amsterdam,
Arthur Hawksley,Nottingham,1842,1915,Streatham,
Ary Scheffer,Dordrecht,1795-02-10,1858-06-15,Argenteuil,
Ary de Vois,Utrecht,1635,1680-07,Leiden,
Associated Press,,,,,
Associated Press Berliner Büro,,,,,
Atelier Kurkdjian,,,,,
Atelier Moderne,,,,,
Atelier Prinses,,,,,
Atelier Rembrandt,,,,,
Atelier Straus,,,,,
Atelier Walther,,,,,
Atélier Siewers,,,,,
Auberlique,,,,,
August Allebé,Amsterdam,1838-04-19,1927-01-10,Amsterdam,
August Christian Hauck,Mannheim,1742-03-03,1801-01-28,Rotterdam,
August Ferdinand Heinrich Harms,Amsterdam,1845-05-06,1916-03-02,Amsterdam,
August Kampf,,1836-09-24,1914,,
August Rombaut,,1834,1892,,
Augusta Curiel,Paramaribo,1873-12-14,1937-11-22,Paramaribo,
Auguste Adolphe Bertsch,,,,,
Auguste Anfray,,,,,
Auguste Antoine Joseph Payen,Doornik,1792-11-12,1853-01-18,Brussel,
Auguste Boulard,Parijs,1825-05-12,1897-10-11,L'Isle-Adam,
Auguste Charles Lyon,Lille,1838,,,
Auguste Garcin,,1816,1895,,
Auguste Henri Durieux Muriel,,1829-06-06,1877-02-21,Parijs,
Auguste Jouve,Lyon,1846-07-11,1887,,
Auguste Leslay,Loiret,1832-04-05,,,
Auguste Letalle,Oise,1827-12-21,,,
Auguste Salzmann,Ribeauvillé,1824-04-14,1872-02-24,Parijs,
Augustin Aimé Joseph Le Jeune,,,,,
Augustin Aimé Joseph Lejeune,,,,,
Augustin Coppens,,,,,
Augustin Hirschvogel,Neurenberg,1503,1553,Wenen,
Augustinus Jacobus Bernardus Wouters,Utrecht,1829-11-20,1904-06-15,Utrecht,
Augustinus de Justis,,,,,
Avery,,,,,
Axel Lindahl,Mariestad,1841,1906,,
B. & G. Moses,,,,,
B. Joseph Fechner,,,,,
B. Monmorency,,1742,,,
B. Muller,,,,,
B. Schaak,,,,,
B.F. Immink,,,,,
B.J. Pottjewijd,Oude Pekela,1859-05-11,1941-02-08,Winschoten,
BL,,,,,
Balthasar Denner,Altona,1685-12-15,1749-04-14,Rostock,
Balthasar Florisz. van Berckenrode,Delft,1592,1645,Den Haag,
Balthasar Paul Ommeganck,Antwerpen,1755-12-26,1826-01-18,Antwerpen,
Balthasar van der Ast,Middelburg,1594,1657-12-19,Delft,
Balthasar van der Veen,Amsterdam,1597,1659,Haarlem,
Balthazar Moncornet,Rouen,1600,1668-08-11,Parijs,
Balthazar van den Bos,,1518,1580,,
Barend Avercamp,Kampen,1613,1679,Kampen,
Barend Cornelis Koekkoek,Middelburg,1803-10-11,1862-04-05,Kleef,
Barend Graat,Amsterdam,1628,1709-11-04,Amsterdam,
Barend Groote,Amsterdam,1862-02-19,1946-01-14,Laren,
Barend Groote & Co.,Amsterdam,1862-02-19,1946-01-14,Laren,
Barend Leonardus Hendriks,Arnhem,1830-12-08,1899-04-06,Arnhem,
Barend W. Arendsen,,1867,1918-10-28,Amsterdam,
Barend de Bailliu,Antwerpen,1641-05-03,1684,,
Barent Fabritius,Middenbeemster,1624,1673,Amsterdam,
Barent de Bakker,,,,,
Barentie Willem Dietz,Vlissingen,1793,1864-05-12,Arnhem,
Bartholomeaus Sarburgh,Trier,1590,1651,Den Haag,
Bartholomeus Breenbergh,Deventer,1599,1657,Amsterdam,
Bartholomeus Johannes van Hove,Den Haag,1790-10-28,1880-11-08,Den Haag,
Bartholomeus Spranger,Antwerpen,1546-03-21,1611-08,Praag,
Bartholomeus Willemsz. Dolendo,Leiden,1572,1626-05-27,Leiden,
Bartholomeus van Bassen,Antwerpen,1595,1652-11-28,Den Haag,
Bartholomeus van der Helst,Haarlem,1613,1670-12-16,Amsterdam,
Bartholomäus Bruyn (I),Keulen,1493,1555-04-22,Keulen,
Bartholomäus Dietterlin,Straatsburg,1610,,,
Barthélémy d'Eyck,,,,,
Bartolomeo Biscaino,Genua,1632,1657,Genua,
Bartolomeo Grassi,,,,,
Bartolommeo (Fra),Florence,1472-03-28,1517-10-31,Florence,
Bartolommeo Bulgarini,,1345,1378,,
Bartolommeo Montagna,Orzinuovi,1450,1523-10-11,Vicenza,
Bartolommeo Suardi,Milaan,1455,1536,Milaan,
Bartolommeo Vivarini,Murano,1432,1499,Murano,
Bartolomé Esteban Murillo,Sevilla,1618-01-01,1682-04-03,Sevilla,
Bastiaan de Poorter,Meeuwen,1813-11-05,1880-01-22,Meeuwen,
Bastiaen Stopendael,Amsterdam,1636,1693-09-07,Amsterdam,
Bastien & Carton,,,,,
Battista Angolo del Moro,Verona,1514,1575,,
Battista Franco,Venetië,1510,1561,Venetië,
Bayard & Bertall,,,,,
Benigno Bossi,Arcisate,1727-08-31,1792-11-04,Parma,
Benjamin Delessert,,1817,1868,,
Benjamin Gerritsz Cuyp,,1612,1652-08,Dordrecht,
Benjamin Samuel Bolomey,Lausanne,1739,1819-12-19,Lausanne,
Benjamin Sanders,Harlingen,1841-03-01,1889-02-03,Groningen,
Benjamin Simpson,,1831-03-31,1923-06-27,,
Benjamin Wolff,Dessau,1758-08-25,1825-10-15,Amsterdam,
Benjamin van der Heide,Franeker,1837-01-20,1928,Amsterdam,
Benoit Taurel,Parijs,1794-09-06,1859-02-11,Amsterdam,
Benoît Audran (II),Parijs,1698,1772-01-09,Parijs,
Benque,,,,,
Bernard Picart,Parijs,1673-06-11,1733-05-08,Amsterdam,
Bernard Vaillant,Lille,1632-11-06,1698-08-29,Leiden,
Bernard de Jong,,,,,
Bernard te Gempt,Batenburg,1826-04-25,1879-01-04,Amsterdam,
Bernard van Orley,Brussel,1488,,Brussel,
Bernardino Capitelli,Siena,1590,1640-05-23,Siena,
Bernardino Zaganelli di Bosio,Cotignola,1470,1512,Cotignola,
Bernardino da Brescia,,,,,
Bernardo Bellotto,Venetië,1721,1780-10-17,Warschau,
Bernardus Antonie van Beek,,,,,
Bernardus Bruining,Leeuwarden,1834-06-08,1900-02-10,Renkum,
Bernardus Johannes Blommers,Den Haag,1845,1914-12-15,Den Haag,
Bernardus Petrus Rabels,Amsterdam,1824-02-16,1906-07-20,Amsterdam,
Bernardus Swaerdecroon,Utrecht,1627,1654-10-16,Utrecht,
Bernardus van Schijndel,Weesp,1647-12-19,1709-05-26,Haarlem,
Bernhard Johannes,,1846,1899,,
Bernhard Schreuder,,,1780-10-16,,
Bertall et Cie.,,,,,
Berthaud Frères,,,,,
Bertien van Manen,,1942,,,dutch
Bidoit,,,,,
Billotte Frères,,,,,
Binger & Chits,,,,,
Bisson Frères,,,,,
Blitz en Zn,,,,,
Bob ten Hoope,Bussum,1920-02-14,2014-01-18,Bussum,
Bonaventura Peeters (I),Antwerpen,1614-07-23,1652-07-25,Hoboken,
Bonfils,,,,,
Borgognone,Milaan,1465,1522,,
Bourne & Shepherd,,,,,
Bousseton & Appert,,,,,
Boëtius Adamsz. Bolswert,Bolsward,1580,1633-03-25,Antwerpen,
Bracher,,,,,
Brainich & Leusink,,,,,
Bramine Hubrecht,Rotterdam,1855-07-21,1913-11-05,Holmbury St. Mary,
Braun,,,,,
Brismontier,,,,,
Brogi,,,,,
Brothers & Co. Ashford,,,,,
Bruno Braquehais,,1823,1875,,
Brunswijkse Monogrammist,,,,,
Budtz Müller & Co.,,1837-12-26,1884-12-30,,
Burkhard,,,,,
C. Clare,,,,,
C. De Trez & Cie.,,,,,
C. Dietrich (fotograaf),,,,,
C. Gangeloff,,,,,
C. Hodcend,,,,,
C. J. Korsten,Dordrecht,1829-03-13,1914-08-26,Zierikzee,
C. Janssens & E. Radermacher,,,,,
C. Martfeld,,,,,
C. Polozzi,,,,,
C. Röntgen,,,,,
C. Schwartz & Co.,,,,,
C. van Baarsel en Zoon,,,,,
C. van Beughem,,,,,
C. van der Aa & J. Chrispijn,,,,,
C.A. Tuchs,,,,,
C.F. Heckel,,,,,
C.M. Ferrier & F. von Martens,,,,,
C.N.,,,,,
C.W. Warren,,,,,
CN & Co.,,,,,
Caesar Boëtius van Everdingen,Alkmaar,1617,1678-10-13,,
Caldesi & Co. Bernieri,,,,,
Camille Corot,Parijs,1796-07-16,1875-02-22,Parijs,
Camillus Franciscus van der Aa,Nijehaske,1847-07-17,1915-06-17,Alkmaar,
Camino,,,,,
Canaletto,Venetië,1697,1768-04-20,Venetië,
Carel Adolph Lion Cachet,Amsterdam,1864-11-28,1945-05-15,Vreeland,
Carel Allard,Amsterdam,1648-01-19,1709-02-01,Amsterdam,
Carel Christiaan Antony Last,Amsterdam,1808-12-11,1876-12-17,Den Haag,
Carel Eduard Westerborg,Arnhem,1842-12-26,1916-03-18,Velp,
Carel Fabritius,Middenbeemster,1622,1654-10-12,Delft,
Carel Frederik Cordes,Steenwijk,1851-02-11,1927-10-21,'s-Hertogenbosch,
Carel Frederik Reimer,Königsberg,1740,1796-01-22,Batavia,
Carel Gustaaf Hisgen,Utrecht,1852-04-23,1917-10-03,Den Haag,
Carel Jacob de Huyser,Amsterdam,1743-03-24,1804-09-15,Amsterdam,
Carel Jacobus Behr,Den Haag,1812,1895-11-10,Den Haag,
Carel Lodewijk Dake,Amsterdam,1857-08-26,1918-08-08,Amsterdam,
Carel Lodewijk Hansen,Amsterdam,1765-08-07,1840-07-09,Vaassen,
Carel Nicolaas Storm van 's-Gravesande,Breda,1841-01-21,1924-02-07,Den Haag,
Carel Willink,Amsterdam,1900-03-07,1983-10-19,Amsterdam,
Carel de Moor (II),Leiden,1655-02-25,1738-02-16,Warmond,
Carjat et Cie.,,,,,
Carl Albert von Lespilliez,Nymphenburg,1723,1796-02-10,München,
Carl August Askling,,1833-08-24,1912-02-26,Söderhamn,
Carl August Ludwig Reinhardt,,1835-06-30,1905,,
Carl Bloch,Kopenhagen,1834-05-23,1890-02-22,Kopenhagen,
Carl Cristiaan Fuchs,Rotterdam,1792,1855-09-14,Bloemendaal,
Carl Ferdinand Stelzner,,,,,
Carl Gustaf Hjalmar Mörner,Stockholm,1794-05-07,1837-09-15,Parijs,
Carl Haack,Schwerin,1842,1908,Wenen,
Carl J. Kleingrothe,Krefeld,1864,1925,,
Carl Jochaff,,,,,
Carl Norman & Co.,,,,,
Carl Philip Wollrabe,Hamburg,1813-04-16,1887-07-16,Den Haag,
Carl Rensing,Soest (Duitsland),1826-01-18,1898-01-29,Amsterdam,
Carl Thomas,,,,,
Carl Wilhelm Bauer,Keulen,1844-06-01,1911-10-28,Breda,
Carleton E. Watkins,New York,1829,1916,Californië,
Carlo Brogi,Florence,1850,1925-04-25,Florence,
Carlo Ceresa,Italië,1609-01-20,1679-01-29,Bergamo,
Carlo Crivelli,,,,,
Carlo Gregori,Florence,1719,1759,Florence,
Carlo Lasinio,Treviso,1759,1838,Pisa,
Carlo Maratti,Camerano,1625-05-15,1713-12-15,Rome,
Carlo Naya,Tronzano Vercellese,1816-08-02,1882-05-30,Venetië,
